Merchant,State,State_Abbreviation,Lat,Lang
GIANT MINI TAMAN SR,KUALA LUMPUR ,KUL,3.1319197,101.6840589
GIANT MINI BANGI SE,SELANGOR     ,SEL,2.9383857,101.7753294
KOPERASI SMKA MAAHA,MUAR         ,JOH,2.033816,102.565888
MZ Mini Mart - Tump,Tumpat       ,KEL,6.1415726,102.2261973
GIANT MINI USJ 17  ,SELANGOR     ,SEL,3.0335409,101.5791215
Pogisinan Enterpris,Kota Marudu  ,SAB,6.4958249,116.7609682
Onuvuw Kimia (T2) -,Kudat        ,SAB,6.7497433,116.7209377
GIANT MINI TAMAN PI,SELANGOR     ,SEL,3.509247,101.5248055
SYUHADA COLLECTION ,Tawau        ,SAB,4.243869,117.8911201
M Games - Simpang D,Simpang Duria,NS ,3.099089,102.2196532
GIANT MINI DENAI AL,SELANGOR     ,SEL,3.1668771,101.5339459
GIANT MINI ALAM MEG,SELANGOR     ,SEL,3.0254212,101.5712866
SYUHADA COLLECTION ,Tawau        ,SAB,4.243869,117.8911201
PERNIAGAAN DOL & KE,KualaLumpur  ,KUL,undefined,undefined
GIANT MINI BANGI SE,SELANGOR     ,SEL,2.9383857,101.7753294
Aone Heritage - Kot,Kota Bharu   ,KEL,6.125142400000001,102.2379201
GIANT MINI BANGI AV,SELANGOR     ,SEL,2.9383857,101.7753294
GIANT MINI SEKSYEN ,SELANGOR     ,SEL,3.1668771,101.5339459
GIANT MINI SS 19 SU,SELANGOR     ,SEL,3.509247,101.5248055
SHOPSMART SUNWAY NE,SELANGOR     ,SEL,3.0683743,101.6024829
Sam Alfa Omega Ente,Nabawan      ,SAB,5.0397906,116.4261945
Hamza Niaga - Setiu,Setiu        ,TER,5.4779062,102.794072
G EKSPRES MEDAN NIA,KUALA LUMPUR ,KUL,3.1319197,101.6840589
SHOPSMART MELATI UT,KUALA LUMPUR ,KUL,3.1319197,101.6840589
SHOPSMART MELATI UT,KUALA LUMPUR ,KUL,3.1319197,101.6840589
GIANT-MINI BANDAR P,KUALA LUMPUR ,KUL,3.1319197,101.6840589
Amn Workshop - Tana,Tanah Merah  ,KEL,5.808886999999999,102.1470772
Zainab Binti Hamat ,Jerteh       ,TER,5.737589,102.494898
GIANT SUPERSTORE PA,KUALA LUMPUR ,KUL,3.1319197,101.6840589
SHOPSMART TAMAN MEL,KUALA LUMPUR ,KUL,3.1013269,101.7076735
GIANT MINI ALAM MEG,SELANGOR     ,SEL,3.0254212,101.5712866
Him Maju Niaga Ente,Permaisuri   ,TER,undefined,undefined
GIANT MINI SRI GOMB,SELANGOR     ,SEL,3.509247,101.5248055
GIANT MINI BANGI AV,SELANGOR     ,SEL,2.9383857,101.7753294
SB Mini Mart - Kual,Kuala Krai   ,KEL,5.3619074,101.9743882
Hing Guan Mini Mark,Penampang    ,SAB,5.9451192,116.1211231
DeRamli Niaga - Mar,Marang       ,TER,undefined,undefined
Mohd Firdaus Bin Yu,Kuantan      ,PAH,3.8168287,103.3317173
SHOPSMART SUNWAY NE,SELANGOR     ,SEL,3.0683743,101.6024829
GIANT MINI PANTAI D,KUALA LUMPUR ,KUL,3.1319197,101.6840589
GIANT MINI TAMAN SR,KUALA LUMPUR ,KUL,3.1319197,101.6840589
KOPERASI SMKA MAAHA,MUAR         ,JOH,2.033816,102.565888
Kabihah Enterprise ,Machang      ,KEL,5.767932999999999,102.2153872
GIANT SUPERSTORE PA,KUALA LUMPUR ,KUL,3.1319197,101.6840589
GIANT MINI SRI GOMB,SELANGOR     ,SEL,3.509247,101.5248055
GIANT MINI TAMAN AB,KUALA LUMPUR ,KUL,3.1319197,101.6840589
Teguh Citra Resourc,Lanchang     ,PAH,3.5337618,102.1243267
Roslina Binti Md Hu,Tanah Merah  ,KEL,5.808886999999999,102.1470772
