Merchant,State,State Abbreviation
DeRamli Niaga - Mar,Marang       ,TER
Mohd Firdaus Bin Yu,Kuantan      ,PAH
SHOPSMART SUNWAY NE,SELANGOR     ,SEL
GIANT MINI PANTAI D,KUALA LUMPUR ,KUL
GIANT MINI TAMAN SR,KUALA LUMPUR ,KUL
KOPERASI SMKA MAAHA,MUAR         ,JOH
Kabihah Enterprise ,Machang      ,KEL
GIANT SUPERSTORE PA,KUALA LUMPUR ,KUL
GIANT MINI SRI GOMB,SELANGOR     ,SEL
GIANT MINI TAMAN AB,KUALA LUMPUR ,KUL
Teguh Citra Resourc,Lanchang     ,PAH
Roslina Binti Md Hu,Tanah Merah  ,KEL
G EKSPRES MEDAN NIA,KUALA LUMPUR ,KUL
GIANT MINI SEKSYEN ,SELANGOR     ,SEL
MM Soho Mini Mart -,Tumpat       ,KEL
Peh Boon Tian - Pas,Pasir Mas    ,KEL
Restoran Keng Sian ,Simpang Rengg,JOH
Se Desa Mart - Mach,Machang      ,KEL
Zanbina Enterprise ,Setiu        ,TER
RAMLY RAMLY HALAL M,PAHANG       ,PAH
RB Sri Pulai Ent - ,Seremban     ,NS 
H&M Senaling Ent - ,Kuala Pilah  ,NS 
Hana Growth Legacy ,Ajil         ,TER
GIANT SUPERSTORE JE,TRENGGANU    ,TER
GIANT HYPERMARKET B,SELANGOR     ,SEL
GIANT SUPERSTORE NI,N.SEMBILAN   ,NS 
GIANT MINI ELMINA E,SELANGOR     ,SEL
GIANT MINI PANTAI D,KUALA LUMPUR ,KUL
GIANT MINI PUSAT DA,SELANGOR     ,SEL
GIANT MINI TAMAN GO,SELANGOR     ,SEL
Testing Pengumbalan,Kota Belud   ,SAB
KOPERASI SMKA MAAHA,MUAR         ,JOH
Rasyidah Enterprise,Gerik        ,PRK
Lasyirah Enterprise,Kuala Berang ,TER
PURE COOKIES       ,PUCHONG      ,SEL
RESTORAN KARI KEPAL,PUCHONG      ,SEL
AVM CASH N CARRY EN,MENTAKAB     ,PAH
GIANT SUPERMARKET S,KUALA LUMPUR ,KUL
